ORDEN;bbdd_query;query;Procedimiento;bbdd_tabla;ORIGEN;DESTINO
343;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;75;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LC_RF_ACTIVIDAD_LIV;#MI_PRIMA_EMITIDA_COMMERCIAL_LIVIANO
344;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;75;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LC_RF_COMUNA_LIV;#MI_PRIMA_EMITIDA_COMMERCIAL_LIVIANO
345;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;75;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LC_RF_MARCA_MODELO_LIV;#MI_PRIMA_EMITIDA_COMMERCIAL_LIVIANO
346;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;75;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LC_RF_FLAG_TIPPLAN;#MI_PRIMA_EMITIDA_COMMERCIAL_LIVIANO
347;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;75;PROCESOS;PROCESOS.DBO.BASE_PLANES_TECNICOS;#MI_PRIMA_EMITIDA_COMMERCIAL_LIVIANO
348;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;76;;#MI_PRIMA_EMITIDA_COMMERCIAL_LIVIANO;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMMERCIAL_LIV
349;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;77;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMMERCIAL_LIV;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMMERCIAL_LIV
350;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;77;PROCESOS;PROCESOS.DBO.BASE_FACTORES_LIMITE_RC;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMMERCIAL_LIV
351;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;78;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMMERCIAL_LIV;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMMERCIAL_NEW
352;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;79;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMMERCIAL_PES;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMMERCIAL_NEW
353;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;80;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMMERCIAL_NEW;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMMERCIAL_NEW
354;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;80;PROCESOS;PROCESOS.DBO.BASE_RC_LIMITE_COB;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMMERCIAL_NEW
355;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;80;PROCESOS;PROCESOS.DBO.BASE_FACTORES_LIMITE_RC;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMMERCIAL_NEW
356;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;81;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_PERSONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA
357;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;81;PROCESOS;PROCESOS.DBO.BASE_MAESTRO_COMUNAS_REGIONES_ZONAS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA
358;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;81;TRANSACCIONAL;TRANSACCIONAL.DBO.BASE_VEHICULOS_RC_2021;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA
359;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;81;;#SEGMENTO_POR_PATENTE;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA
360;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;82;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMMERCIAL_NEW;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA
361;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;82;PROCESOS;PROCESOS.DBO.BASE_MAESTRO_COMUNAS_REGIONES_ZONAS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA
362;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;83;SOL;SOL.S1031EBB.RSASOLDB2.SUACSPOL;#POL_CANCELADA_INDIVIDUAL
363;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;83;SOL;SOL.S1031EBB.RSASOLDB2.SUACSITE;#POL_CANCELADA_INDIVIDUAL
364;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;84;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_POL_CANCELADA_MASIVA;#POL_CANCELADA_INDIVIDUAL
365;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;85;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA;#POL_CANCELADA_INDIVIDUAL
366;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;85;;#POL_CANCELADA_INDIVIDUAL;#POL_CANCELADA_INDIVIDUAL
367;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;86;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
368;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;87;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
369;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;87;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_CANCELACION_PERDIDA_TOTAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
370;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;88;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
371;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;88;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_UPDATE_FECHA_SIN_POL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
372;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;89;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
373;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;89;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_UPDATE_FECHA_SIN_POL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
374;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;90;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
375;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;90;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_TER_VIG_REAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
376;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;91;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
377;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;92;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
378;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;93;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
379;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;94;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
380;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;95;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
381;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;95;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_GAMA_VEHICULOS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
382;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;96;SOL;SOL.S1031EBB.RSASOLDB2.SUACSPOL;#MI_CONTRATANTE
383;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;97;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
384;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;97;;#MI_CONTRATANTE;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
385;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;98;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
386;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;98;PROCESOS;PROCESOS.DBO.BASE_FLOTA_SEGMENTO;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
387;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;99;PROCESOS;PROCESOS.DBO.BASE_FLOTA;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
388;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;99;PROCESOS;PROCESOS.DBO.BASE_FLOTA;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
389;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;100;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
390;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;100;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_TOP100_2019;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
391;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;101;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
392;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;101;TRANSACCIONAL;TRANSACCIONAL.DBO.BASE_CORREDOR_EJECUTIVO_CA2;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
393;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;102;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
394;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;102;REPORTES;REPORTES.DBO.PLANES_TECNICOS_MOVILIDAD;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
395;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;103;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
396;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;103;REPORTES;REPORTES.DBO.PLANES_TECNICOS_MOVILIDAD;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
397;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;104;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
398;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;104;REPORTES;REPORTES.DBO.PLANES_TECNICOS_MOVILIDAD;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
399;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;105;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
400;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;105;REPORTES;REPORTES.DBO.PLANES_TECNICOS_MOVILIDAD;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
401;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;106;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
402;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;106;REPORTES;REPORTES.DBO.PLANES_TECNICOS_MOVILIDAD;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
403;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;107;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
404;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;107;REPORTES;REPORTES.DBO.PLANES_TECNICOS_MOVILIDAD;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
405;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;108;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
406;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;108;REPORTES;REPORTES.DBO.PLANES_TECNICOS_MOVILIDAD;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS
407;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;109;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;REPORTES.DBO.MI_PRIMA_EMITIDA_ACCESS
408;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_05_V2;1;SGF1034;SGF1034.ACTUARIAL.DBO.PAGOS_RVAS;TRANSACCIONAL.DBO.MI_PAGOS_RESERVAS_2
409;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_05_V2;2;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PAGOS_RESERVAS_2;TRANSACCIONAL.DBO.MI_SINIESTROS_PAGOS_RESERVAS_B_NEW
410;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_05_V2;3;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PAGOS_RESERVAS_2;TRANSACCIONAL.DBO.MI_SINIESTROS_PAGOS_RESERVAS_B_NEW
411;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_05_V2;4;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_SINIESTROS_PAGOS_RESERVAS_B_NEW;TRANSACCIONAL.DBO.MI_A3_COMPLETO
412;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_05_V2;5;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_A3_COMPLETO;TRANSACCIONAL.DBO.MI_A3_COMPLETO_FINAL
413;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_05_V2;5;PROCESOS;PROCESOS.DBO.BASE_LDF_COMPLETO;TRANSACCIONAL.DBO.MI_A3_COMPLETO_FINAL
414;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_05_V2;6;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_A3_COMPLETO_FINAL;TRANSACCIONAL.DBO.MI_A3_COMPLETO_FINAL
415;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_05_V2;6;SOL;SOL.S1031EBB.RSASOLDB2.SNACSCOR;TRANSACCIONAL.DBO.MI_A3_COMPLETO_FINAL
416;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_05_V2;7;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PAGOS_RESERVAS_2;#RAMO_RESERVA_HERTZ
417;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_05_V2;7;SOL;SOL.S1031EBB.RSASOLDB2.TBACSTGE;#RAMO_RESERVA_HERTZ
418;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_05_V2;7;SOL;SOL.S1031EBB.RSASOLDB2.SNACSCSI;#RAMO_RESERVA_HERTZ
419;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_05_V2;8;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_A3_COMPLETO_FINAL;TRANSACCIONAL.DBO.MI_A3_COMPLETO_FINAL
420;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_05_V2;8;;#RAMO_RESERVA_HERTZ;TRANSACCIONAL.DBO.MI_A3_COMPLETO_FINAL
421;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_05_V2;9;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PAGOS_RESERVAS_2;#RECUPOERO
422;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_05_V2;10;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_A3_COMPLETO_FINAL;TRANSACCIONAL.DBO.MI_A3_COMPLETO_FINAL
423;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_05_V2;10;;#RECUPOERO;TRANSACCIONAL.DBO.MI_A3_COMPLETO_FINAL
424;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_05_V2;11;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_A3_COMPLETO_FINAL;REPORTES.DBO.MI_A3_COMPLETO_FINAL
425;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;1;SOL;SOL.S1031EBB.RSASOLDB2.SUACSPOL;TRANSACCIONAL.DBO.MI_DATO_ADICIONAL_POLIZA
426;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;2;SOL;SOL.S1031EBB.RSASOLDB2.SUACSRDO;TRANSACCIONAL.DBO.SUACSRDO
427;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;3;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_DATO_ADICIONAL_POLIZA;TRANSACCIONAL.DBO.MI_DATO_ADICIONAL_POLIZA
428;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;3;TRANSACCIONAL;TRANSACCIONAL.DBO.SUACSRDO;TRANSACCIONAL.DBO.MI_DATO_ADICIONAL_POLIZA
429;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;4;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_DEVENGADA_MOTOR_PRE
430;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;4;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PERIODO;TRANSACCIONAL.DBO.MI_PRIMA_DEVENGADA_MOTOR_PRE
431;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;5;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_DEVENGADA_MOTOR_PRE;TRANSACCIONAL.DBO.MI_PRIMA_DEVENGADA_MOTOR
432;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;6;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_DEVENGADA_MOTOR;TRANSACCIONAL.DBO.MI_INCURRIDO_ULT_MOTOR_CON_PRORROGA
433;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;7;REPORTES;REPORTES.DBO.MI_A3_COMPLETO_FINAL;TRANSACCIONAL.DBO.MI_BASE_SINIESTROS_MOTOR
434;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;8;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_BASE_SINIESTROS_MOTOR;TRANSACCIONAL.DBO.MI_BASE_SINIESTROS_MOTOR
435;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;8;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_DEVENGADA_MOTOR;TRANSACCIONAL.DBO.MI_BASE_SINIESTROS_MOTOR
436;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;9;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_BASE_SINIESTROS_MOTOR;TRANSACCIONAL.DBO.MI_BASE_SINIESTROS_MOTOR
437;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;9;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_DEVENGADA_MOTOR;TRANSACCIONAL.DBO.MI_BASE_SINIESTROS_MOTOR
438;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;10;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_BASE_SINIESTROS_MOTOR;TRANSACCIONAL.DBO.MI_BASE_SINIESTROS_MOTOR
439;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;10;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_DEVENGADA_MOTOR;TRANSACCIONAL.DBO.MI_BASE_SINIESTROS_MOTOR
440;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;11;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_BASE_SINIESTROS_MOTOR;TRANSACCIONAL.DBO.MI_BASE_SINIESTROS_MOTOR_POLIZA
441;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;12;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_DEVENGADA_MOTOR;#MI_PRIMA_SINIESTRO_MOTOR
442;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;12;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_BASE_SINIESTROS_MOTOR_POLIZA;#MI_PRIMA_SINIESTRO_MOTOR
443;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;13;;#MI_PRIMA_SINIESTRO_MOTOR;TRANSACCIONAL.DBO.MI_PRIMA_SINIESTRO_MOTOR
444;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;14;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_SINIESTRO_MOTOR;TRANSACCIONAL.DBO.MI_PRIMA_SINIESTRO_MOTOR
445;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;14;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_BASE_SINIESTROS_MOTOR_POLIZA;TRANSACCIONAL.DBO.MI_PRIMA_SINIESTRO_MOTOR
446;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;15;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_SINIESTRO_MOTOR;TRANSACCIONAL.DBO.MI_PRIMA_SINIESTRO_MOTOR
447;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_06;15;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_ACCESS;TRANSACCIONAL.DBO.MI_PRIMA_SINIESTRO_MOTOR
